Date,Open,High,Low,Close,Adj Close,Volume
2021-06-04,247.759995,251.649994,247.509995,250.789993,244.464844,25281100
2021-06-07,249.979996,254.089996,249.809998,253.809998,247.408676,23079200
2021-06-08,255.160004,256.010010,252.509995,252.570007,246.199951,22455000
2021-06-09,253.809998,255.529999,253.210007,253.589996,247.194229,17937600
2021-06-10,254.289993,257.459991,253.669998,257.239990,250.752167,24563600
2021-06-11,257.989990,258.489990,256.609985,257.890015,251.385788,18999700
2021-06-14,257.899994,259.950012,256.799988,259.890015,253.335373,19150500
2021-06-15,259.769989,259.989990,257.679993,258.359985,251.843887,18038900
2021-06-16,259.399994,260.579987,254.419998,257.380005,250.888626,27220000
2021-06-17,256.070007,261.750000,256.010010,260.899994,254.319855,27565500
2021-06-18,259.630005,262.299988,258.750000,259.429993,252.886948,37202200
2021-06-21,259.820007,263.519989,257.920013,262.630005,256.006226,26696100
2021-06-22,262.720001,265.790009,262.399994,265.510010,258.813629,24694100
2021-06-23,265.989990,266.829987,264.429993,265.269989,258.579590,19518700
2021-06-24,266.160004,267.850006,265.470001,266.690002,259.963837,21446900
2021-06-25,266.230011,267.250000,264.760010,265.019989,258.335938,25611100
2021-06-28,266.190002,268.899994,265.910004,268.720001,261.942596,19590000
2021-06-29,268.869995,271.649994,267.980011,271.399994,264.555054,19937800
2021-06-30,270.690002,271.359985,269.600006,270.899994,264.067657,21656500
2021-07-01,269.609985,271.839996,269.600006,271.600006,264.750031,16725300
2021-07-02,272.820007,278.000000,272.500000,277.649994,270.647369,26458000
2021-07-06,278.029999,279.369995,274.299988,277.660004,270.657135,31565600
2021-07-07,279.399994,280.690002,277.149994,279.929993,272.869965,23260000
2021-07-08,276.899994,278.730011,274.869995,277.420013,270.423157,24618600
2021-07-09,275.720001,278.049988,275.320007,277.940002,270.930145,23916700
2021-07-12,279.160004,279.769989,276.579987,277.320007,270.325745,18931700
2021-07-13,277.519989,282.850006,277.390015,280.980011,273.893433,26120100
2021-07-14,282.350006,283.660004,280.549988,282.510010,275.384827,23113700
2021-07-15,282.000000,282.510010,279.829987,281.029999,273.942169,22604200
2021-07-16,282.070007,284.100006,279.459991,280.750000,273.669220,26186800
2021-07-19,278.929993,280.369995,274.450012,277.010010,270.023560,32935600
2021-07-20,278.029999,280.970001,276.260010,279.320007,272.275269,26259700
2021-07-21,278.899994,281.519989,277.290009,281.399994,274.302826,24364300
2021-07-22,283.839996,286.420013,283.420013,286.140015,278.923340,23384100
2021-07-23,287.369995,289.989990,286.500000,289.670013,282.364227,22768100
2021-07-26,289.000000,289.690002,286.640015,289.049988,281.759888,23176100
2021-07-27,289.429993,289.579987,282.950012,286.540009,279.313202,33604100
2021-07-28,288.989990,290.149994,283.829987,286.220001,279.001312,33566900
2021-07-29,286.239990,288.619995,286.079987,286.500000,279.274170,18168300
2021-07-30,285.170013,286.660004,283.910004,284.910004,277.724335,20944800
2021-08-02,286.359985,286.769989,283.739990,284.820007,277.636566,16267400
2021-08-03,285.420013,287.230011,284.000000,287.119995,279.878540,17879000
2021-08-04,286.220001,287.589996,284.649994,286.510010,279.283966,16191300
2021-08-05,286.880005,289.630005,286.100006,289.519989,282.218018,13900200
2021-08-06,288.510010,289.500000,287.619995,289.459991,282.159515,16589300
2021-08-09,289.750000,291.549988,287.809998,288.329987,281.058044,16117600
2021-08-10,288.799988,289.250000,285.200012,286.440002,279.215759,18616600
2021-08-11,287.209991,288.660004,285.859985,286.950012,279.712830,13955900
2021-08-12,286.630005,289.970001,286.339996,289.809998,282.500732,14561300
